time;EDA.raw;ECG.raw
737.927;238;503
7.394.467;238;503
7.415.258;238;503
7.437.438;238;503
7.459.687;238;503
7.481.949;238;503
7.504.262;238;503
7.526.417;238;503
7.548.418;237;501
7.570.871;237;501
7.593.094;237;501
7.615.389;237;501
7.637.563;237;501
765.968;237;501
7.685.631;237;501
7.703.939;237;501
7.726.292;237;501
7.748.488;237;501
7.770.681;237;501
7.792.853;237;501
7.815.258;237;501
7.837.213;236;515
7.859.829;236;515
7.881.681;236;515
7.904.188;236;515
7.926.534;236;515
7.948.209;236;515
7.970.778;236;515
7.999.864;236;515
8.015.857;236;515
8.037.218;236;515
8.059.601;236;515
8.081.648;236;515
8.103.831;236;515
8.126.196;236;515
8.148.168;235;523
8.170.599;235;523
8.192.921;235;523
821.511;235;523
8.237.355;235;523
8.259.493;235;523
8.281.632;235;523
8.309.157;235;523
8.326.042;235;523
8.348.289;235;523
8.370.483;235;523
8.392.855;235;523
8.415.124;235;523
843.718;235;523
84.595;233;508
8.481.589;233;508
8.503.883;233;508
8.526.022;233;508
8.548.193;233;508
8.570.463;233;508
8.592.661;233;508
8.622.568;233;508
8.639.923;233;508
8.659.354;233;508
8.681.366;233;508
8.703.548;233;508
8.725.802;233;508
8.748.223;232;513
87.704;232;513
8.792.515;232;513
8.814.532;232;513
8.836.807;232;513
8.859.087;232;513
8.881.296;232;513
8.903.757;232;513
8.932.364;232;513
8.948.226;232;513
8.970.264;232;513
9.006.199;232;513
902.405;232;513
9.041.602;232;513
9.059.136;232;513
9.081.259;232;513
9.103.369;232;513
912.562;232;513
9.147.879;232;513
9.170.044;232;513
9.192.414;232;513
9.214.489;231;505
9.236.856;231;505
9.258.869;231;505
9.281.141;231;505
930.332;231;505
9.325.589;231;505
934.772;231;505
9.370.026;231;505
939.622;231;505
9.414.615;231;505
9.436.561;231;505
9.458.731;231;505
948.118;231;505
9.503.415;231;505
9.525.867;233;518
9.552.877;233;518
956.986;233;518
9.592.225;233;518
961.421;233;518
9.636.551;233;518
9.658.757;233;518
9.680.901;233;518
9.703.194;233;518
9.725.522;233;518
9.747.659;233;518
9.769.699;233;518
9.792.124;233;518
9.814.106;233;518
9.836.912;233;518
9.858.736;245;560
9.880.999;245;560
9.903.458;245;560
992.549;245;560
9.947.436;245;560
9.969.794;245;560
